date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:05	131267/131267	---M--	200	added ('OK')	image/jpeg	etag:%225cecc7c6-200c3%22	https://mdbootstrap.com/img/Marketing/general/resources/fluent.jpg	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/img/Marketing/general/resources/fluent.jpg	(from https://mdbootstrap.com/)
17:01:05	202897/202897	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:04%20GMT	https://mdbootstrap.com/docs/jquery/css/animations/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/animations/index.html	(from https://mdbootstrap.com/)
17:01:09	237696/237696	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:06%20GMT	https://mdbootstrap.com/docs/jquery/css/background-image/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/background-image/index.html	(from https://mdbootstrap.com/)
17:01:09	226225/226225	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:08%20GMT	https://mdbootstrap.com/docs/jquery/css/colors/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/colors/index.html	(from https://mdbootstrap.com/)
17:01:10	49849/49849	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cebd390-c2b9%22	https://mdbootstrap.com/wp-content/themes/mdbootstrap4/js/mc_validate.js	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/wp-content/themes/mdbootstrap4/js/mc_validate.js	(from https://mdbootstrap.com/)
17:01:11	241156/241156	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:09%20GMT	https://mdbootstrap.com/docs/jquery/css/demo/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/demo/index.html	(from https://mdbootstrap.com/)
17:01:11	238069/238069	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:10%20GMT	https://mdbootstrap.com/docs/jquery/css/color-combination/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/color-combination/index.html	(from https://mdbootstrap.com/)
17:01:11	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Jun%202019%2014:01:11%20GMT	https://mdbootstrap.com/contact	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/contact	(from https://mdbootstrap.com/)
17:01:11	224419/224419	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:11%20GMT	https://mdbootstrap.com/docs/jquery/css/text-color/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/text-color/index.html	(from https://mdbootstrap.com/)
17:01:12	222774/222774	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:12%20GMT	https://mdbootstrap.com/docs/jquery/css/gradients/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/gradients/index.html	(from https://mdbootstrap.com/)
17:01:13	208559/208559	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jun%202019%2014:01:12%20GMT	https://mdbootstrap.com/docs/jquery/css/hover-effects/	C:/My%20Web%20Sites/MDBootStrap/mdbootstrap.com/docs/jquery/css/hover-effects/index.html	(from https://mdbootstrap.com/)
